lang
AZERBAIJANI
BOSNIAN
CZECH
GREEK
HUNGARIAN
MALTESE
NORWEGIAN_N
ROMANIAN
URDU
ESTONIAN
GEORGIAN
PERSIAN
GANDA
KAZAKH
RHAETO_ROMANCE
HINDI
MALAGASY
SANSKRIT
CROATIAN
FINNISH
ITALIAN
Korean
SLOVAK
UKRAINIAN
MANX
DHIVEHI
CORSICAN
FRENCH
GALICIAN
GERMAN
LITHUANIAN
MACEDONIAN
NORWEGIAN
TURKISH
LATIN
FRISIAN
MALAY
MONGOLIAN
TONGA
TAJIK
IRISH
TURKMEN
ARABIC
CATALAN
DANISH
DUTCH
ICELANDIC
SERBIAN
SLOVENIAN
SWEDISH
TAMIL
LUXEMBOURGISH
TELUGU
KANNADA
LATVIAN
KURDISH
MAORI
CEBUANO
TAGALOG
TATAR
OCCITAN
WELSH
WOLOF
ALBANIAN
BASQUE
HEBREW
POLISH
PORTUGUESE
RUSSIAN
SPANISH
ARMENIAN
FAROESE
BELARUSIAN
ZHUANG
KYRGYZ
GUJARATI
UZBEK
NYANJA
BULGARIAN
ENGLISH
INDONESIAN
SINHALESE
YIDDISH
AFRIKAANS
SOMALI
MALAYALAM
ZULU
PASHTO
PUNJABI
AMHARIC
SWAHILI
SAMOAN
BIHARI
SHONA
HAUSA
LINGALA
